ID   M_g   Zmet   log(Teff)   log(g)   Age/Gyr   FUV   NUV   M_u   M_g   M_r   M_i   M_z   M_J   M_H   M_Ks   W1   W2   W3   W4
01x09   0.1056  -1.3102   3.6946   1.9906   7.0000  15.8458   5.5273   1.5503   0.1056  -0.5394  -0.7780  -0.9019  -1.9568  -2.4577  -2.5253  -2.5623  -2.5570  -2.6056  -2.6273
02x09   0.7354  -1.3102   3.7062   2.3029   8.0000  15.6054   5.6309   2.0495   0.7354   0.1483  -0.0677  -0.1747  -1.2037  -1.6728  -1.7368  -1.7708  -1.7708  -1.8118  -1.8338
03x09   1.0614  -1.3102   3.7137   2.4978   7.0000  15.3262   5.6439   2.3034   1.0614   0.5098   0.3086   0.2110  -0.8015  -1.2523  -1.3130  -1.3446  -1.3480  -1.3846  -1.4066
04x09   1.4845  -1.3102   3.7204   2.6743   9.0000  15.0342   5.7194   2.6379   1.4845   0.9686   0.7781   0.6881  -0.3108  -0.7458  -0.8038  -0.8353  -0.8428  -0.8743  -0.8973
05x09   2.0367  -1.3102   3.7354   3.0856   4.0000  14.3645   5.8846   3.1082   2.0367   1.5722   1.4086   1.3394   0.3714  -0.0269  -0.0786  -0.1054  -0.1136  -0.1414  -0.1644
06x09   2.5408  -1.3102   3.7394   3.2560   6.0000  14.4832   6.2675   3.5845   2.5408   2.0900   1.9311   1.8672   0.9073   0.5184   0.4684   0.4414   0.4334   0.4064   0.3834
07x09   2.8795  -1.3102   3.8980   4.2228   4.0000   7.8755   4.9249   3.8954   2.8795   2.9149   3.0154   3.1314   2.4486   2.3908   2.3748   2.3738   2.3698   2.3618   2.3498
08x09   3.0989  -1.3102   3.8541   4.0591   6.0000   9.2101   5.3473   4.0292   3.0989   3.0085   3.0345   3.1030   2.3470   2.2038   2.1856   2.1818   2.1766   2.1646   2.1476
09x09   3.2607  -1.3102   3.7623   3.5995  10.0000  13.1657   6.4087   4.1784   3.2607   2.8938   2.7707   2.7325   1.8157   1.4751   1.4336   1.4134   1.4034   1.3828   1.3591
10x09   3.3978  -1.3102   3.8274   4.0100   8.0000  10.2476   5.7984   4.2747   3.3978   3.2272   3.2074   3.2455   2.4438   2.2421   2.2202   2.2142   2.2082   2.1942   2.1762
11x09   3.5185  -1.3102   3.8305   4.0706   8.0000  10.2815   5.8886   4.3923   3.5185   3.3556   3.3405   3.3818   2.5855   2.3902   2.3692   2.3637   2.3577   2.3442   2.3257
12x09   3.6317  -1.3102   3.8373   4.1415   8.0000  10.1606   5.9104   4.4998   3.6317   3.4878   3.4827   3.5307   2.7447   2.5617   2.5417   2.5367   2.5316   2.5177   2.4996
13x09   3.7374  -1.3102   3.8541   4.3007   5.0000   9.8549   5.9186   4.6195   3.7374   3.6363   3.6572   3.7249   2.9670   2.8182   2.8014   2.7992   2.7944   2.7832   2.7664
14x09   3.8385  -1.3102   3.8441   4.2759   6.0000  10.2251   6.0807   4.7036   3.8385   3.7096   3.7130   3.7697   2.9957   2.8258   2.8078   2.8041   2.7998   2.7871   2.7691
15x09   3.9363  -1.3102   3.8298   4.2192   8.0000  10.7346   6.2797   4.7832   3.9363   3.7666   3.7474   3.7878   2.9893   2.7893   2.7693   2.7634   2.7583   2.7444   2.7263
16x09   4.0351  -1.3102   3.8331   4.2815   7.0000  10.7377   6.3439   4.8782   4.0351   3.8732   3.8593   3.9034   3.1104   2.9166   2.8975   2.8926   2.8876   2.8736   2.8556
17x09   4.1356  -1.3102   3.8536   4.4715   2.0000  10.2691   6.2721   4.9839   4.1356   4.0258   4.0423   4.1090   3.3496   3.1960   3.1799   3.1779   3.1739   3.1629   3.1459
18x09   4.2391  -1.3102   3.8236   4.2982   8.0000  11.2344   6.6103   5.0630   4.2391   4.0481   4.0186   4.0509   3.2425   3.0281   3.0062   3.0012   2.9952   2.9812   2.9624
19x09   4.3458  -1.3102   3.8320   4.4050   5.0000  11.0902   6.6344   5.1647   4.3458   4.1755   4.1576   4.1992   3.4045   3.2064   3.1873   3.1824   3.1774   3.1643   3.1462
20x09   4.4573  -1.3102   3.8373   4.4842   3.0000  11.0076   6.6557   5.2635   4.4573   4.3007   4.2887   4.3360   3.5487   3.3585   3.3408   3.3375   3.3325   3.3192   3.3002
21x09   4.5747  -1.3102   3.8150   4.3759   8.0000  11.9008   7.0133   5.3824   4.5747   4.3561   4.3118   4.3342   3.5109   3.2770   3.2544   3.2474   3.2410   3.2260   3.2070
22x09   4.6976  -1.3102   3.8115   4.4024   8.0000  12.1593   7.1657   5.4998   4.6976   4.4678   4.4178   4.4362   3.6071   3.3659   3.3419   3.3347   3.3277   3.3127   3.2935
23x09   4.8313  -1.3102   3.8074   4.4184   9.0000  12.3915   7.2884   5.6183   4.8313   4.5912   4.5330   4.5462   3.7080   3.4565   3.4324   3.4232   3.4172   3.4012   3.3802
24x09   4.9734  -1.3102   3.8094   4.5093   5.0000  12.5343   7.4485   5.7609   4.9734   4.7343   4.6796   4.6958   3.8625   3.6156   3.5919   3.5843   3.5777   3.5627   3.5427
25x09   5.1268  -1.3102   3.8003   4.5038   7.0000  13.0442   7.6968   5.9142   5.1268   4.8614   4.7927   4.7986   3.9502   3.6849   3.6592   3.6484   3.6416   3.6256   3.6056
26x09   5.2957  -1.3102   3.7946   4.5337   7.0000  13.5181   7.9459   6.0897   5.2957   5.0117   4.9338   4.9332   4.0761   3.8000   3.7715   3.7594   3.7524   3.7354   3.7154
27x09   5.4852  -1.3102   3.7891   4.5768   6.0000  14.0221   8.2176   6.2876   5.4852   5.1822   5.0959   5.0897   4.2235   3.9379   3.9063   3.8919   3.8849   3.8681   3.8479
28x09   5.7034  -1.3102   3.7771   4.5768   9.0000  14.8880   8.6140   6.5300   5.7034   5.3617   5.2576   5.2380   4.3521   4.0453   4.0069   3.9885   3.9813   3.9635   3.9425
29x09   5.9681  -1.3102   3.7685   4.6249   8.0000  15.6345   8.9706   6.8105   5.9681   5.5987   5.4802   5.4490   4.5486   4.2272   4.1835   4.1590   4.1509   4.1337   4.1119
30x09   6.3043  -1.3102   3.7530   4.6664   7.0000  17.2308   9.6860   7.2417   6.3043   5.8750   5.7334   5.6869   4.7625   4.4178   4.3647   4.3326   4.3238   4.3049   4.2839
31x09   6.8037  -1.3102   3.7314   4.7145   7.0000  19.1846  10.5885   7.8661   6.8037   6.2921   6.1150   6.0425   5.0818   4.7032   4.6344   4.5856   4.5746   4.5530   4.5325
32x09   7.8739  -1.3102   3.6880   4.8081   7.0000  22.7755  12.7892   9.3409   7.8739   7.1731   6.9178   6.7884   5.7441   5.2865   5.1842   5.1083   5.0980   5.0531   5.0384
01x10   0.1103  -1.2384   3.7754   2.6459  10.0000  10.0190   3.9710   1.7440   0.7160   0.4170   0.3250   0.3030  -0.5860  -0.8860  -0.9220  -0.9410  -0.9520  -0.9710  -0.9920
02x10   0.7388  -1.2384   3.7105   2.3474   7.0000  15.1291   5.3903   1.9892   0.7388   0.1785  -0.0299  -0.1325  -1.1525  -1.6117  -1.6737  -1.7075  -1.7127  -1.7485  -1.7715
03x10   1.0675  -1.2384   3.7162   2.5143   7.0000  14.9788   5.4748   2.2618   1.0675   0.5339   0.3358   0.2408  -0.7673  -1.2124  -1.2719  -1.3044  -1.3114  -1.3444  -1.3674
04x10   1.4962  -1.2384   3.7245   2.7558   6.0000  14.7152   5.5917   2.6143   1.4962   0.9981   0.8151   0.7311  -0.2600  -0.6840  -0.7400  -0.7710  -0.7800  -0.8090  -0.8320
05x10   2.0545  -1.2384   3.7310   2.9952   7.0000  14.6086   5.9231   3.1246   2.0545   1.5808   1.4080   1.3324   0.3546  -0.0546  -0.1086  -0.1376  -0.1466  -0.1749  -0.1979
06x10   2.5554  -1.2384   3.7393   3.2398   7.0000  14.3296   6.1993   3.5765   2.5554   2.1098   1.9503   1.8844   0.9240   0.5339   0.4829   0.4563   0.4463   0.4203   0.3973
07x10   2.8903  -1.2384   3.7400   3.3316  10.0000  14.5812   6.4996   3.9014   2.8903   2.4452   2.2867   2.2216   1.2627   0.8748   0.8234   0.7960   0.7860   0.7610   0.7376
08x10   3.1064  -1.2384   3.7431   3.4228  11.0000  14.5024   6.6295   4.0957   3.1064   2.6717   2.5184   2.4572   1.5048   1.1234   1.0733   1.0472   1.0372   1.0122   0.9891
09x10   3.2672  -1.2384   3.7505   3.5270  11.0000  14.0258   6.6187   4.2165   3.2672   2.8590   2.7175   2.6653   1.7265   1.3607   1.3143   1.2909   1.2801   1.2577   1.2339
10x10   3.4037  -1.2384   3.7550   3.5945  12.0000  13.8349   6.6729   4.3385   3.4037   3.0112   2.8765   2.8295   1.8989   1.5429   1.4986   1.4761   1.4657   1.4437   1.4203
11x10   3.5242  -1.2384   3.8525   4.2045   6.0000   9.6777   5.7375   4.4203   3.5242   3.4224   3.4420   3.5078   2.7484   2.5989   2.5809   2.5779   2.5729   2.5619   2.5439
12x10   3.6371  -1.2384   3.8373   4.1436   8.0000  10.1658   5.9153   4.5049   3.6371   3.4932   3.4881   3.5361   2.7501   2.5671   2.5471   2.5421   2.5370   2.5231   2.5050
13x10   3.7428  -1.2384   3.8436   4.2235   7.0000  10.0972   5.9657   4.6086   3.7428   3.6139   3.6173   3.6729   2.8974   2.7258   2.7077   2.7037   2.6987   2.6857   2.6677
14x10   3.8437  -1.2384   3.8283   4.1642   9.0000  10.6287   6.1665   4.6880   3.8437   3.6719   3.6504   3.6881   2.8867   2.6831   2.6621   2.6571   2.6511   2.6371   2.6179
15x10   3.9416  -1.2384   3.8274   4.1957   9.0000  10.7557   6.2638   4.7790   3.9416   3.7667   3.7433   3.7797   2.9764   2.7702   2.7492   2.7442   2.7382   2.7242   2.7045
16x10   4.0404  -1.2384   3.8209   4.1906  10.0000  11.0723   6.4126   4.8699   4.0404   3.8461   3.8119   3.8413   3.0266   2.8069   2.7849   2.7779   2.7719   2.7569   2.7379
17x10   4.1411  -1.2384   3.8243   4.2532   9.0000  11.0519   6.4707   4.9634   4.1411   3.9549   3.9258   3.9581   3.1498   2.9363   2.9150   2.9090   2.9040   2.8890   2.8698
18x10   4.2447  -1.2384   3.8262   4.3087   8.0000  11.1036   6.5511   5.0605   4.2447   4.0621   4.0348   4.0699   3.2646   3.0537   3.0334   3.0277   3.0224   3.0077   2.9884
19x10   4.3517  -1.2384   3.8162   4.2814  10.0000  11.5657   6.7494   5.1635   4.3517   4.1409   4.0975   4.1213   3.2989   3.0680   3.0444   3.0374   3.0314   3.0164   2.9958
20x10   4.4633  -1.2384   3.8237   4.3829   7.0000  11.4123   6.7743   5.2631   4.4633   4.2709   4.2386   4.2705   3.4603   3.2430   3.2219   3.2159   3.2109   3.1959   3.1769
21x10   4.5808  -1.2384   3.8141   4.3618   9.0000  11.8827   6.9843   5.3790   4.5808   4.3611   4.3143   4.3354   3.5089   3.2722   3.2489   3.2416   3.2356   3.2206   3.1996
22x10   4.7040  -1.2384   3.8134   4.4097   8.0000  12.0389   7.1061   5.4954   4.7040   4.4808   4.4322   4.4522   3.6246   3.3859   3.3629   3.3554   3.3494   3.3334   3.3134
23x10   4.8378  -1.2384   3.8164   4.4932   5.0000  12.0729   7.1980   5.6177   4.8378   4.6205   4.5759   4.5989   3.7765   3.5422   3.5204   3.5136   3.5078   3.4928   3.4728
24x10   4.9800  -1.2384   3.8130   4.5327   4.0000  12.3503   7.3691   5.7537   4.9800   4.7523   4.7021   4.7214   3.8934   3.6518   3.6289   3.6213   3.6153   3.6003   3.5795
25x10   5.1337  -1.2384   3.8035   4.5239   6.0000  12.8666   7.6177   5.9065   5.1337   4.8788   4.8133   4.8215   3.9771   3.7168   3.6911   3.6816   3.6746   3.6596   3.6378
26x10   5.3026  -1.2384   3.7959   4.5386   7.0000  13.3873   7.8795   6.0804   5.3026   5.0247   4.9476   4.9471   4.0907   3.8153   3.7867   3.7751   3.7681   3.7521   3.7301
27x10   5.4919  -1.2384   3.7863   4.5459   9.0000  14.0781   8.2048   6.2865   5.4919   5.1836   5.0924   5.0810   4.2098   3.9177   3.8839   3.8682   3.8612   3.8442   3.8226
28x10   5.7109  -1.2384   3.7802   4.6005   7.0000  14.6430   8.5145   6.5140   5.7109   5.3808   5.2807   5.2627   4.3816   4.0785   4.0415   4.0235   4.0155   3.9995   3.9775
29x10   5.9754  -1.2384   3.7674   4.6179   9.0000  15.7167   8.9987   6.8235   5.9754   5.6026   5.4828   5.4503   4.5486   4.2248   4.1805   4.1562   4.1472   4.1301   4.1081
30x10   6.3124  -1.2384   3.7540   4.6707   7.0000  17.0169   9.5977   7.2224   6.3124   5.8898   5.7488   5.7015   4.7786   4.4355   4.3810   4.3484   4.3385   4.3205   4.2985
31x10   6.8118  -1.2384   3.7303   4.7049   9.0000  19.2825  10.6229   7.8829   6.8118   6.2954   6.1169   6.0421   5.0796   4.6985   4.6289   4.5800   4.5690   4.5464   4.5267
32x10   7.8829  -1.2384   3.6876   4.8090   7.0000  22.7980  12.8070   9.3531   7.8829   7.1806   6.9246   6.7948   5.7498   5.2916   5.1891   5.1130   5.1026   5.0575   5.0429
01x11   0.1310  -1.1529   3.6987   2.0735   5.0000  15.5844   5.3699   1.5243   0.1310  -0.4925  -0.7231  -0.8400  -1.8856  -2.3733  -2.4402  -2.4761  -2.4723  -2.5182  -2.5401
02x11   0.7541  -1.1529   3.7093   2.3293   8.0000  15.2288   5.4458   2.0136   0.7541   0.1887  -0.0220  -0.1264  -1.1487  -1.6104  -1.6731  -1.7071  -1.7121  -1.7488  -1.7711
03x11   1.0944  -1.1529   3.7253   2.6922   3.0000  14.2777   5.1960   2.2144   1.0944   0.5995   0.4181   0.3348  -0.6538  -1.0764  -1.1324  -1.1615  -1.1714  -1.2005  -1.2235
04x11   1.5509  -1.1529   3.7272   2.8163   5.0000  14.5201   5.5661   2.6529   1.5509   1.0634   0.8846   0.8039  -0.1809  -0.5996  -0.6545  -0.6836  -0.6935  -0.7225  -0.7455
05x11   2.1324  -1.1529   3.7339   3.0612   6.0000  14.4224   5.9267   3.1869   2.1324   1.6677   1.5003   1.4280   0.4556   0.0530  -0.0001  -0.0281  -0.0371  -0.0651  -0.0881
06x11   2.6184  -1.1529   3.7407   3.2725   7.0000  14.2609   6.2252   3.6306   2.6184   2.1769   2.0201   1.9562   0.9984   0.6117   0.5608   0.5348   0.5248   0.4989   0.4758
07x11   2.9331  -1.1529   3.8437   3.9476   6.0000   9.3239   5.2643   3.8588   2.9331   2.8150   2.8253   2.8819   2.1092   1.9463   1.9253   1.9212   1.9152   1.9022   1.8851
08x11   3.1393  -1.1529   3.7597   3.5510   9.0000  13.2251   6.3349   4.0660   3.1393   2.7638   2.6376   2.5963   1.6739   1.3278   1.2862   1.2654   1.2550   1.2336   1.2102
09x11   3.2969  -1.1529   3.8398   4.0475   7.0000   9.7931   5.6195   4.1953   3.2969   3.1627   3.1642   3.2166   2.4366   2.2619   2.2419   2.2377   2.2317   2.2195   2.2015
10x11   3.4298  -1.1529   3.8032   3.8752  10.0000  11.0817   6.0100   4.2868   3.4298   3.1906   3.1320   3.1414   2.2968   2.0424   2.0155   2.0055   1.9985   1.9816   1.9606
11x11   3.5502  -1.1529   3.8830   4.3988   3.0000   8.9277   5.5623   4.4856   3.5502   3.5306   3.5974   3.6979   2.9873   2.8943   2.8803   2.8803   2.8764   2.8664   2.8508
12x11   3.6620  -1.1529   3.8451   4.2018   7.0000   9.9735   5.8819   4.5353   3.6620   3.5387   3.5453   3.6024   2.8295   2.6621   2.6436   2.6401   2.6346   2.6221   2.6041
13x11   3.7676  -1.1529   3.8319   4.1686   8.0000  10.5000   6.1092   4.6272   3.7676   3.6059   3.5911   3.6342   2.8394   2.6451   2.6251   2.6201   2.6141   2.6011   2.5827
14x11   3.8675  -1.1529   3.8308   4.1994   8.0000  10.6347   6.2093   4.7199   3.8675   3.7017   3.6846   3.7261   2.9293   2.7320   2.7120   2.7067   2.7010   2.6877   2.6690
15x11   3.9662  -1.1529   3.8216   4.1669  10.0000  10.9699   6.3365   4.8002   3.9662   3.7746   3.7422   3.7721   2.9588   2.7414   2.7194   2.7124   2.7064   2.6914   2.6724
16x11   4.0654  -1.1529   3.8402   4.3330   6.0000  10.5222   6.2809   4.9040   4.0654   3.9229   3.9180   3.9694   3.1876   3.0064   2.9883   2.9843   2.9793   2.9663   2.9482
17x11   4.1673  -1.1529   3.8150   4.2000  11.0000  11.4154   6.5890   4.9904   4.1673   3.9549   3.9114   3.9339   3.1094   2.8767   2.8535   2.8457   2.8395   2.8245   2.8037
18x11   4.2712  -1.1529   3.8229   4.3060   8.0000  11.2943   6.6476   5.0933   4.2712   4.0778   4.0470   4.0784   3.2687   3.0527   3.0307   3.0255   3.0195   3.0054   2.9864
19x11   4.3795  -1.1529   3.8235   4.3570   7.0000  11.3794   6.7387   5.1941   4.3795   4.1868   4.1556   4.1886   3.3794   3.1638   3.1426   3.1374   3.1322   3.1174   3.0992
20x11   4.4915  -1.1529   3.8259   4.4126   6.0000  11.3683   6.7790   5.2897   4.4915   4.3043   4.2754   4.3100   3.5036   3.2909   3.2704   3.2654   3.2604   3.2454   3.2264
21x11   4.6105  -1.1529   3.8190   4.4124   7.0000  11.7328   6.9582   5.4036   4.6105   4.4037   4.3637   4.3908   3.5729   3.3450   3.3230   3.3170   3.3110   3.2970   3.2770
22x11   4.7358  -1.1529   3.8130   4.4305   7.0000  12.1467   7.1855   5.5350   4.7358   4.5095   4.4610   4.4813   3.6547   3.4162   3.3932   3.3853   3.3794   3.3644   3.3453
23x11   4.8694  -1.1529   3.8152   4.4983   5.0000  12.1493   7.2400   5.6482   4.8694   4.6486   4.6021   4.6238   3.7993   3.5628   3.5407   3.5336   3.5276   3.5126   3.4925
24x11   5.0127  -1.1529   3.8021   4.4563   9.0000  12.7832   7.5173   5.7929   5.0127   4.7557   4.6891   4.6958   3.8492   3.5864   3.5607   3.5507   3.5443   3.5283   3.5069
25x11   5.1680  -1.1529   3.7973   4.4871   9.0000  13.1586   7.7248   5.9469   5.1680   4.8949   4.8211   4.8222   3.9680   3.6957   3.6677   3.6568   3.6498   3.6338   3.6118
26x11   5.3383  -1.1529   3.7987   4.5826   4.0000  13.2942   7.8758   6.1079   5.3383   5.0680   4.9945   4.9978   4.1461   3.8758   3.8488   3.8379   3.8309   3.8150   3.7939
27x11   5.5284  -1.1529   3.7887   4.5864   6.0000  14.0006   8.2068   6.3159   5.5284   5.2264   5.1389   5.1308   4.2632   3.9759   3.9434   3.9288   3.9211   3.9051   3.8831
28x11   5.7488  -1.1529   3.7796   4.6237   5.0000  14.8164   8.6246   6.5684   5.7488   5.4139   5.3135   5.2962   4.4152   4.1133   4.0761   4.0575   4.0505   4.0339   4.0129
29x11   6.0139  -1.1529   3.7680   4.6466   6.0000  15.7197   9.0267   6.8579   6.0139   5.6421   5.5228   5.4910   4.5911   4.2692   4.2245   4.1997   4.1917   4.1747   4.1527
30x11   6.3551  -1.1529   3.7525   4.6812   6.0000  17.1651   9.6716   7.2742   6.3551   5.9268   5.7832   5.7344   4.8098   4.4643   4.4092   4.3751   4.3651   4.3468   4.3258
31x11   6.8561  -1.1529   3.7283   4.7087   9.0000  19.4784  10.7139   7.9420   6.8561   6.3315   6.1496   6.0725   5.1066   4.7222   4.6514   4.6010   4.5900   4.5669   4.5474
32x11   7.9505  -1.1529   3.6855   4.8199   5.0000  22.9536  12.9360   9.4419   7.9505   7.2364   6.9758   6.8430   5.7936   5.3315   5.2276   5.1493   5.1389   5.0916   5.0769
01x12   0.2517  -1.0419   3.6959   2.0416   8.0000  15.8913   5.5985   1.6767   0.2517  -0.3864  -0.6218  -0.7433  -1.7957  -2.2924  -2.3597  -2.3967  -2.3914  -2.4397  -2.4610
02x12   0.8477  -1.0419   3.7097   2.3876   7.0000  15.4352   5.5973   2.1284   0.8477   0.2774   0.0689  -0.0335  -1.0548  -1.5151  -1.5779  -1.6107  -1.6119  -1.6509  -1.6729
03x12   1.2868  -1.0419   3.7139   2.5441  10.0000  15.5188   5.8431   2.5242   1.2868   0.7366   0.5353   0.4388  -0.5738  -1.0244  -1.0846  -1.1167  -1.1196  -1.1567  -1.1787
04x12   1.9159  -1.0419   3.7238   2.8553  10.0000  15.3312   6.0924   3.0591   1.9159   1.4074   1.2238   1.1403   0.1483  -0.2770  -0.3335  -0.3635  -0.3698  -0.4015  -0.4238
05x12   2.5322  -1.0419   3.7419   3.2646   6.0000  14.0736   6.1160   3.5395   2.5322   2.0960   1.9415   1.8786   0.9229   0.5385   0.4885   0.4629   0.4522   0.4276   0.4039
06x12   2.9130  -1.0419   3.7365   3.3121  11.0000  15.0877   6.6886   3.9662   2.9130   2.4496   2.2870   2.2195   1.2544   0.8593   0.8068   0.7795   0.7715   0.7438   0.7218
07x12   3.1428  -1.0419   3.7438   3.4556  10.0000  14.6448   6.7277   4.1492   3.1429   2.7061   2.5549   2.4957   1.5454   1.1660   1.1178   1.0918   1.0828   1.0578   1.0348
08x12   3.3120  -1.0419   3.8625   4.1728   6.0000   9.1823   5.4651   4.2364   3.3120   3.2420   3.2793   3.3561   2.6135   2.4847   2.4668   2.4648   2.4598   2.4487   2.4317
09x12   3.4528  -1.0419   3.8648   4.2523   5.0000   9.3058   5.6019   4.3732   3.4528   3.3855   3.4261   3.5063   2.7671   2.6423   2.6255   2.6235   2.6193   2.6083   2.5923
10x12   3.5801  -1.0419   3.8416   4.1593   7.0000  10.0333   5.8654   4.4611   3.5801   3.4471   3.4488   3.5035   2.7259   2.5526   2.5336   2.5296   2.5246   2.5116   2.4936
11x12   3.6959  -1.0419   3.8192   4.0549  10.0000  10.7758   6.1081   4.5448   3.6959   3.5006   3.4661   3.4935   2.6762   2.4548   2.4319   2.4240   2.4180   2.4030   2.3830
12x12   3.8052  -1.0419   3.8647   4.4018   3.0000   9.6655   5.9111   4.6956   3.8052   3.7306   3.7670   3.8476   3.1070   2.9778   2.9628   2.9610   2.9570   2.9468   2.9300
13x12   3.9074  -1.0419   3.8479   4.3306   5.0000  10.1844   6.1110   4.7691   3.9074   3.7868   3.7962   3.8571   3.0895   2.9266   2.9094   2.9064   2.9022   2.8902   2.8730
14x12   4.0097  -1.0419   3.8338   4.2754   7.0000  10.6944   6.3161   4.8551   4.0097   3.8499   3.8370   3.8818   3.0899   2.8977   2.8785   2.8737   2.8687   2.8547   2.8367
15x12   4.1122  -1.0419   3.8263   4.2659   8.0000  11.0116   6.4673   4.9445   4.1122   3.9302   3.9055   3.9410   3.1374   2.9289   2.9082   2.9029   2.8972   2.8832   2.8649
16x12   4.2174  -1.0419   3.8283   4.3224   7.0000  11.0658   6.5488   5.0440   4.2174   4.0390   4.0165   4.0547   3.2536   3.0490   3.0280   3.0236   3.0180   3.0046   2.9856
17x12   4.3239  -1.0419   3.8205   4.3006   9.0000  11.3814   6.6795   5.1361   4.3239   4.1249   4.0893   4.1175   3.3019   3.0797   3.0577   3.0511   3.0455   3.0305   3.0105
18x12   4.4346  -1.0419   3.8220   4.3688   7.0000  11.4944   6.8064   5.2463   4.4346   4.2367   4.2030   4.2340   3.4223   3.2035   3.1819   3.1763   3.1707   3.1563   3.1377
19x12   4.5490  -1.0419   3.8099   4.3264  10.0000  12.0603   7.0448   5.3619   4.5490   4.3173   4.2651   4.2825   3.4503   3.2063   3.1823   3.1743   3.1675   3.1525   3.1325
20x12   4.6682  -1.0419   3.8120   4.3822   9.0000  12.0556   7.0883   5.4620   4.6682   4.4417   4.3905   4.4094   3.5791   3.3378   3.3138   3.3057   3.2997   3.2847   3.2637
21x12   4.7938  -1.0419   3.8065   4.4045   9.0000  12.4484   7.3114   5.5944   4.7938   4.5497   4.4913   4.5039   3.6662   3.4146   3.3896   3.3809   3.3749   3.3589   3.3391
22x12   4.9258  -1.0419   3.8049   4.4497   8.0000  12.6501   7.4538   5.7192   4.9258   4.6749   4.6133   4.6243   3.7840   3.5288   3.5030   3.4942   3.4872   3.4722   3.4514
23x12   5.0658  -1.0419   3.8060   4.5238   5.0000  12.7635   7.5752   5.8510   5.0658   4.8165   4.7561   4.7684   3.9293   3.6755   3.6510   3.6425   3.6355   3.6203   3.6003
24x12   5.2159  -1.0419   3.7912   4.4661  11.0000  13.6010   7.9184   6.0218   5.2159   4.9225   4.8405   4.8361   3.9726   3.6907   3.6602   3.6472   3.6402   3.6232   3.6022
25x12   5.3777  -1.0419   3.7905   4.5358   8.0000  13.8243   8.0892   6.1793   5.3777   5.0803   4.9967   4.9909   4.1271   3.8437   3.8127   3.7989   3.7919   3.7757   3.7547
26x12   5.5550  -1.0419   3.7865   4.5876   6.0000  14.2355   8.3261   6.3615   5.5550   5.2432   5.1534   5.1437   4.2739   3.9836   3.9502   3.9347   3.9277   3.9115   3.8907
27x12   5.7543  -1.0419   3.7773   4.5967   8.0000  14.8431   8.6002   6.5646   5.7543   5.4158   5.3109   5.2895   4.4036   4.0964   4.0576   4.0389   4.0308   4.0138   3.9918
28x12   5.9850  -1.0419   3.7678   4.6269   8.0000  15.7038   9.0017   6.8308   5.9850   5.6130   5.4933   5.4613   4.5598   4.2374   4.1931   4.1682   4.1599   4.1427   4.1209
29x12   6.2635  -1.0419   3.7555   4.6690   6.0000  17.0112   9.5958   7.1882   6.2635   5.8421   5.7047   5.6603   4.7412   4.4002   4.3488   4.3177   4.3090   4.2903   4.2693
30x12   6.6263  -1.0419   3.7397   4.6999   7.0000  18.3891  10.2230   7.6295   6.6263   6.1475   5.9837   5.9204   4.9740   4.6083   4.5452   4.5021   4.4911   4.4715   4.4505
31x12   7.1691  -1.0419   3.7136   4.7365   7.0000  20.8917  11.4914   8.4173   7.1691   6.5807   6.3748   6.2821   5.2859   4.8709   4.7905   4.7352   4.7303   4.6990   4.6810
32x12   8.4332  -1.0419   3.6656   4.8435   7.0000  24.4530  14.1104  10.1589   8.4332   7.6153   7.3144   7.1525   6.0575   5.5456   5.4296   5.3456   5.3366   5.2746   5.2586
01x13   0.6773  -0.9099   3.7440   2.5064   7.0000  12.5365   4.5623   1.7805   0.6773   0.2561   0.1091   0.0511  -0.8990  -1.2741  -1.3211  -1.3451  -1.3561  -1.3801  -1.4021
02x13   1.7131  -0.9099   3.7263   2.8322   7.0000  14.7577   5.7411   2.8160   1.7131   1.2207   1.0405   0.9587  -0.0285  -0.4491  -0.5041  -0.5341  -0.5435  -0.5725  -0.5955
03x13   2.7712  -0.9099   3.7422   3.3440   7.0000  14.4422   6.4169   3.7948   2.7712   2.3301   2.1766   2.1156   1.1618   0.7796   0.7303   0.7043   0.6953   0.6700   0.6470
04x13   3.1685  -0.9099   3.8441   4.0170   7.0000   9.5002   5.4407   4.0744   3.1685   3.0497   3.0578   3.1149   2.3410   2.1752   2.1552   2.1512   2.1452   2.1322   2.1142
05x13   3.3976  -0.9099   3.8920   4.3893   3.0000   8.5510   5.3863   4.3608   3.3976   3.4053   3.4891   3.5990   2.9034   2.8287   2.8147   2.8147   2.8112   2.8022   2.7882
06x13   3.5739  -0.9099   3.8603   4.2732   5.0000   9.5384   5.7360   4.4781   3.5739   3.4924   3.5245   3.5993   2.8526   2.7173   2.7010   2.6990   2.6943   2.6830   2.6668
07x13   3.7242  -0.9099   3.8323   4.1548   8.0000  10.4437   6.0662   4.5868   3.7242   3.5640   3.5499   3.5938   2.7998   2.6066   2.5866   2.5816   2.5756   2.5626   2.5446
08x13   3.8573  -0.9099   3.8435   4.2798   6.0000  10.2605   6.1021   4.7206   3.8573   3.7266   3.7289   3.7849   3.0100   2.8387   2.8207   2.8169   2.8127   2.7999   2.7819
09x13   3.9811  -0.9099   3.8270   4.2081   9.0000  10.8079   6.3032   4.8156   3.9811   3.8047   3.7805   3.8164   3.0123   2.8050   2.7840   2.7790   2.7730   2.7590   2.7390
